Sample,sh,even,location,small_cluster,small,logit,animal
PA.254792,0.828,0.124898998,h,1,b,-1.94683392,PA.254792
PA.259026,1.366,0.206053178,h,1,b,-1.3488822,PA.259026
PA.260050,0.743,0.112077241,h,1,b,-2.06969647,PA.260050
PA.260069,1.492,0.225059547,h,1,b,-1.23642117,PA.260069
PA.263633,1.116,0.168342128,h,1,b,-1.59742276,PA.263633
PA.263635,0.831,0.125351531,h,1,b,-1.94270002,PA.263635
PA.265334,1.042,0.157179657,h,1,b,-1.67936436,PA.265334
PA.265336,1.239,0.186895965,h,1,b,-1.47030694,PA.265336
PA.269419,1.342,0.202432917,h,1,b,-1.37115739,PA.269419
PA.270652,0.723,0.109060357,h,1,b,-2.10037522,PA.270652
PA.215704,1.275,0.192326356,h,3A,c,-1.43496437,PA.215704
PA.215902,1.01,0.152352643,h,3A,c,-1.71626684,PA.215902
PA.215935,1.262,0.190365381,h,3A,c,-1.44763777,PA.215935
PA.216034,1.194,0.180107976,h,3A,c,-1.51561612,PA.216034
PA.254707,1.311,0.197756747,h,3A,c,-1.40037414,PA.254707
PA.254824,2.683,0.40471499,h,3A,c,-0.38585721,PA.254824
PA.258502,3.387,0.510909308,h,3A,c,0.04364416,PA.258502
PA.258513,3.259,0.49160125,h,3A,c,-0.03359816,PA.258513
PA.258540,1.807,0.272575471,h,3A,c,-0.98159472,PA.258540
PA.258551,1.887,0.284643007,h,3A,c,-0.92154592,PA.258551
PA.258627,2.375,0.358254976,h,3A,c,-0.58294611,PA.258627
PA.258931,1.509,0.227623899,h,3A,c,-1.22177691,PA.258931
PA.258996,2.191,0.330499644,h,3A,c,-0.70592611,PA.258996
PA.259007,2.176,0.328236981,h,3A,c,-0.71616978,PA.259007
PA.259064,1.463,0.220685066,h,3A,c,-1.2616786,PA.259064
PA.260012,1.283,0.193533109,h,3A,c,-1.42721424,PA.260012
PA.263652,1.898,0.286302293,h,3A,c,-0.91341127,PA.263652
PA.263690,1.91,0.288112423,h,3A,c,-0.90456924,PA.263690
PA.263747,1.147,0.173018298,h,3A,c,-1.56438521,PA.263747
PA.263749,1.13,0.170453947,h,3A,c,-1.58241347,PA.263749
PA.263861,2.324,0.350561922,h,3A,c,-0.61657014,PA.263861
PA.263863,2.161,0.325974318,h,3A,c,-0.72644961,PA.263863
PA.263880,1.064,0.160498229,h,3A,c,-1.65452568,PA.263880
PA.263918,1.73,0.260960467,h,3A,c,-1.04098249,PA.263918
PA.263956,1.522,0.229584873,h,3A,c,-1.21065672,PA.263956
PA.264241,2.705,0.408033563,h,3A,c,-0.37210051,PA.264241
PA.264298,2.087,0.314811847,h,3A,c,-0.77771833,PA.264298
PA.264414,1.081,0.163062581,h,3A,c,-1.63561524,PA.264414
PA.264583,2.222,0.335175814,h,3A,c,-0.68486741,PA.264583
PA.264602,2.655,0.400491353,h,3A,c,-0.40341822,PA.264602
PA.264659,1.295,0.19534324,h,3A,c,-1.41565759,PA.264659
PA.264661,0.919,0.13862582,h,3A,c,-1.82675064,PA.264661
PA.264868,1.02,0.153861085,h,3A,c,-1.7046334,PA.264868
PA.264887,3.479,0.524786974,h,3A,c,0.09922924,PA.264887
PA.264889,3.39,0.51136184,h,3A,c,0.04545518,PA.264889
PA.265315,2.065,0.311493274,h,3A,c,-0.79314734,PA.265315
PA.265458,2.866,0.432319479,h,3A,c,-0.27239395,PA.265458
PA.265477,1.088,0.16411849,h,3A,c,-1.6278982,PA.265477
PA.265605,1.429,0.215556363,h,3A,c,-1.2917523,PA.265605
PA.265607,1.556,0.234713576,h,3A,c,-1.18188423,PA.265607
PA.265646,2.741,0.413463954,h,3A,c,-0.34966379,PA.265646
PA.268694,1.607,0.24240663,h,3A,c,-1.13953019,PA.268694
PA.268696,1.416,0.213595388,h,3A,c,-1.30338792,PA.268696
PA.269113,3.076,0.463996761,h,3A,c,-0.14426263,PA.269113
PA.269301,2.428,0.366249719,h,3A,c,-0.54833961,PA.269301
PA.269439,1.465,0.220986754,h,3A,c,-1.25992529,PA.269439
PA.269519,1.609,0.242708319,h,3A,c,-1.1378881,PA.269519
PA.269559,1.727,0.260507934,h,3A,c,-1.04333024,PA.269559
PA.269561,1.736,0.261865532,h,3A,c,-1.03629488,PA.269561
PA.270592,1.806,0.272424626,h,3A,c,-0.98235563,PA.270592
PA.271080,1.096,0.165325244,h,3A,c,-1.61912743,PA.271080
PA.271100,1.688,0.254625011,h,3A,c,-1.07409551,PA.271100
PA.271120,1.581,0.238484681,h,3A,c,-1.16100521,PA.271120
PA.271220,2.131,0.321448992,h,3A,c,-0.74712078,PA.271220
PA.271222,2.096,0.316169445,h,3A,c,-0.77143187,PA.271222
PA.271240,2.694,0.406374276,h,3A,c,-0.37897443,PA.271240
PA.271302,0.785,0.118412697,h,3A,c,-2.00754808,PA.271302
PA.271320,1.931,0.291280151,h,3A,c,-0.88917479,PA.271320
PA.271956,2.586,0.390083103,h,3A,c,-0.44696291,PA.271956
PA.272176,3.36,0.506836514,h,3A,c,0.02734776,PA.272176
PA.272996,1.818,0.274234757,h,3A,c,-0.97324209,PA.272996
PA.272998,1.654,0.249496308,h,3A,c,-1.10130045,PA.272998
PA.273219,1.336,0.201527852,h,3A,c,-1.37677249,PA.273219
PA.273399,2.062,0.311040742,h,3A,c,-0.79525823,PA.273399
PA.273519,2.172,0.327633604,h,3A,c,-0.7189075,PA.273519
PA.273539,1.584,0.238937214,h,3A,c,-1.15851504,PA.273539
PA.274966,1.705,0.257189362,h,3A,c,-1.06062852,PA.274966
PA.275110,3.393,0.511814373,h,3A,c,0.04726629,PA.275110
PA.215706,0.694,0.104685875,h,3B,d,-2.14621043,PA.215706
PA.215869,1.004,0.151447577,h,3B,d,-1.72329233,PA.215869
PA.254771,1.201,0.181163885,h,3B,d,-1.5084819,PA.254771
PA.258532,0.87,0.131234455,h,3B,d,-1.89008783,PA.258532
PA.258578,0.804,0.121278737,h,3B,d,-1.98037623,PA.258578
PA.258589,0.712,0.107401071,h,3B,d,-2.1175672,PA.258589
PA.258779,0.692,0.104384187,h,3B,d,-2.14943334,PA.258779
PA.259993,0.604,0.091109897,h,3B,d,-2.30015775,PA.259993
PA.259995,0.973,0.146771407,h,3B,d,-1.76015118,PA.259995
PA.260126,0.812,0.122485491,h,3B,d,-1.96910091,PA.260126
PA.260128,0.866,0.130631078,h,3B,d,-1.89539042,PA.260128
PA.260164,0.614,0.092618339,h,3B,d,-2.28207599,PA.260164
PA.260166,1.086,0.163816802,h,3B,d,-1.63009898,PA.260166
PA.263258,0.928,0.139983418,h,3B,d,-1.8154277,PA.263258
PA.263728,1.027,0.154916994,h,3B,d,-1.6965454,PA.263728
PA.263785,0.469,0.07074593,h,3B,d,-2.57528718,PA.263785
PA.263787,0.669,0.10091477,h,3B,d,-2.18710154,PA.263787
PA.263842,1.183,0.178448689,h,3B,d,-1.52689329,PA.263842
PA.263937,0.621,0.093674249,h,3B,d,-2.26957546,PA.263937
PA.264450,0.826,0.12459731,h,3B,d,-1.94959698,PA.264450
PA.264452,0.82,0.123692245,h,3B,d,-1.95792076,PA.264452
PA.264640,1.255,0.189309472,h,3B,d,-1.45450329,PA.264640
PA.264678,0.743,0.112077241,h,3B,d,-2.06969647,PA.264678
PA.264773,0.848,0.127915882,h,3B,d,-1.91951301,PA.264773
PA.264775,1.087,0.163967646,h,3B,d,-1.62899819,PA.264775
PA.265296,0.655,0.098802951,h,3B,d,-2.21059646,PA.265296
PA.265353,0.562,0.084774441,h,3B,d,-2.37917645,PA.265353
PA.265355,0.569,0.08583035,h,3B,d,-2.36564349,PA.265355
PA.265372,0.425,0.064108785,h,3B,d,-2.68091784,PA.265372
PA.265391,0.433,0.065315539,h,3B,d,-2.66097903,PA.265391
PA.265496,0.715,0.107853603,h,3B,d,-2.11285546,PA.265496
PA.265567,0.673,0.101518147,h,3B,d,-2.18046894,PA.265567
PA.265586,0.436,0.065768071,h,3B,d,-2.65359025,PA.265586
PA.268713,0.624,0.094126781,h,3B,d,-2.26425675,PA.268713
PA.268715,0.671,0.101216459,h,3B,d,-2.18378085,PA.268715
PA.269132,0.663,0.100009705,h,3B,d,-2.19711675,PA.269132
PA.269173,0.431,0.06501385,h,3B,d,-2.66593139,PA.269173
PA.269192,0.438,0.06606976,h,3B,d,-2.64869059,PA.269192
PA.269211,0.661,0.099708017,h,3B,d,-2.20047305,PA.269211
PA.269319,0.615,0.092769183,h,3B,d,-2.2802824,PA.269319
PA.269479,0.787,0.118714386,h,3B,d,-2.00466128,PA.269479
PA.269481,0.706,0.106496006,h,3B,d,-2.12704332,PA.269481
PA.269499,1.074,0.162006671,h,3B,d,-1.64337263,PA.269499
PA.270692,0.669,0.10091477,h,3B,d,-2.18710154,PA.270692
PA.270694,0.649,0.097897886,h,3B,d,-2.22080277,PA.270694
PA.270772,1.017,0.153408552,h,3B,d,-1.70811359,PA.270772
PA.270912,0.554,0.083567687,h,3B,d,-2.39483128,PA.270912
PA.271380,0.644,0.097143665,h,3B,d,-2.22937248,PA.271380
PA.272516,0.901,0.135910625,h,3B,d,-1.84967871,PA.272516
PA.272518,0.897,0.135307248,h,3B,d,-1.85482614,PA.272518
PA.272596,0.997,0.150391668,h,3B,d,-1.73153245,PA.272596
PA.273138,0.629,0.094881002,h,3B,d,-2.25544293,PA.273138
PA.215770,4.26,0.642596295,h,4A,e,0.58665071,PA.215770
PA.215836,3.244,0.489338587,h,4A,e,-0.04265212,PA.215836
PA.215838,3.329,0.502160344,h,4A,e,0.00864143,PA.215838
PA.215968,3.85,0.580750172,h,4A,e,0.32585368,PA.215968
PA.215970,3.793,0.572152053,h,4A,e,0.29063691,PA.215970
PA.216067,2.195,0.33110302,h,4A,e,-0.70320049,PA.216067
PA.216100,3.773,0.569135169,h,4A,e,0.27832354,PA.216100
PA.254479,2.811,0.424023048,h,4A,e,-0.30627983,PA.254479
PA.254498,4.139,0.624344146,h,4A,e,0.50802829,PA.254498
PA.254536,2.996,0.451929225,h,4A,e,-0.19287884,PA.254536
PA.254544,3.7,0.558123542,h,4A,e,0.23355,PA.254544
PA.254555,3.416,0.515283789,h,4A,e,0.06115421,PA.254555
PA.254574,3.666,0.552994839,h,4A,e,0.21277853,PA.254574
PA.254593,3.094,0.466711957,h,4A,e,-0.13334942,PA.254593
PA.254631,2.757,0.415877461,h,4A,e,-0.33972014,PA.254631
PA.254677,3.931,0.592968553,h,4A,e,0.37625092,PA.254677
PA.254688,2.949,0.444839548,h,4A,e,-0.22154352,PA.254688
PA.258559,3.264,0.492355471,h,4A,e,-0.0305805,PA.258559
PA.258570,4.233,0.638523501,h,4A,e,0.56896145,PA.258570
PA.258673,2.81,0.423872204,h,4A,e,-0.3068975,PA.258673
PA.258684,2.765,0.417084215,h,4A,e,-0.33475457,PA.258684
PA.258730,3.127,0.471689815,h,4A,e,-0.11336198,PA.258730
PA.258787,2.082,0.314057626,h,4A,e,-0.78121713,PA.258787
PA.258798,1.83,0.276044887,h,4A,e,-0.96416591,PA.258798
PA.258817,3.44,0.51890405,h,4A,e,0.07565226,PA.258817
PA.258855,3.447,0.51995996,h,4A,e,0.07988229,PA.258855
PA.258893,2.949,0.444839548,h,4A,e,-0.22154352,PA.258893
PA.260052,4.584,0.691469816,h,4A,e,0.80699982,PA.260052
PA.260147,2.845,0.429151751,h,4A,e,-0.28531282,PA.260147
PA.260221,3.591,0.541681524,h,4A,e,0.16711393,PA.260221
PA.263823,2.781,0.419497722,h,4A,e,-0.32483563,PA.263823
PA.263825,2.783,0.41979941,h,4A,e,-0.32359689,PA.263825
PA.263975,4.317,0.651194414,h,4A,e,0.62429353,PA.263975
PA.263977,4.871,0.734762101,h,4A,e,1.01891962,PA.263977
PA.264165,5.579,0.841559795,h,4A,e,1.6698798,PA.264165
PA.264184,3.842,0.579543419,h,4A,e,0.32089937,PA.264184
PA.264471,2.952,0.44529208,h,4A,e,-0.21971128,PA.264471
PA.264507,4.567,0.688905464,h,4A,e,0.79500721,PA.264507
PA.264526,2.846,0.429302595,h,4A,e,-0.28469711,PA.264526
PA.264621,3.625,0.546810227,h,4A,e,0.18779085,PA.264621
PA.264792,4.04,0.609410571,h,4A,e,0.44483526,PA.264792
PA.264794,3.696,0.557520166,h,4A,e,0.23110378,PA.264794
PA.264849,2.896,0.436844805,h,4A,e,-0.25397725,PA.264849
