Sample,even,location,logit,animal
PA.254792,0.124898998,h,-1.94683392,PA.254792
PA.259026,0.206053178,h,-1.3488822,PA.259026
PA.260050,0.112077241,h,-2.06969647,PA.260050
PA.260069,0.225059547,h,-1.23642117,PA.260069
PA.263633,0.168342128,h,-1.59742276,PA.263633
PA.263635,0.125351531,h,-1.94270002,PA.263635
PA.265334,0.157179657,h,-1.67936436,PA.265334
PA.265336,0.186895965,h,-1.47030694,PA.265336
PA.269419,0.202432917,h,-1.37115739,PA.269419
PA.270652,0.109060357,h,-2.10037522,PA.270652
PA.215704,0.192326356,h,-1.43496437,PA.215704
PA.215902,0.152352643,h,-1.71626684,PA.215902
PA.215935,0.190365381,h,-1.44763777,PA.215935
PA.216034,0.180107976,h,-1.51561612,PA.216034
PA.254707,0.197756747,h,-1.40037414,PA.254707
PA.254824,0.40471499,h,-0.38585721,PA.254824
PA.258502,0.510909308,h,0.04364416,PA.258502
PA.258513,0.49160125,h,-0.03359816,PA.258513
PA.258540,0.272575471,h,-0.98159472,PA.258540
PA.258551,0.284643007,h,-0.92154592,PA.258551
PA.258627,0.358254976,h,-0.58294611,PA.258627
PA.258931,0.227623899,h,-1.22177691,PA.258931
PA.258996,0.330499644,h,-0.70592611,PA.258996
PA.259007,0.328236981,h,-0.71616978,PA.259007
PA.259064,0.220685066,h,-1.2616786,PA.259064
PA.260012,0.193533109,h,-1.42721424,PA.260012
PA.263652,0.286302293,h,-0.91341127,PA.263652
PA.263690,0.288112423,h,-0.90456924,PA.263690
PA.263747,0.173018298,h,-1.56438521,PA.263747
PA.263749,0.170453947,h,-1.58241347,PA.263749
PA.263861,0.350561922,h,-0.61657014,PA.263861
PA.263863,0.325974318,h,-0.72644961,PA.263863
PA.263880,0.160498229,h,-1.65452568,PA.263880
PA.263918,0.260960467,h,-1.04098249,PA.263918
PA.263956,0.229584873,h,-1.21065672,PA.263956
PA.264241,0.408033563,h,-0.37210051,PA.264241
PA.264298,0.314811847,h,-0.77771833,PA.264298
PA.264414,0.163062581,h,-1.63561524,PA.264414
PA.264583,0.335175814,h,-0.68486741,PA.264583
PA.264602,0.400491353,h,-0.40341822,PA.264602
PA.264659,0.19534324,h,-1.41565759,PA.264659
PA.264661,0.13862582,h,-1.82675064,PA.264661
PA.264868,0.153861085,h,-1.7046334,PA.264868
PA.264887,0.524786974,h,0.09922924,PA.264887
PA.264889,0.51136184,h,0.04545518,PA.264889
PA.265315,0.311493274,h,-0.79314734,PA.265315
PA.265458,0.432319479,h,-0.27239395,PA.265458
PA.265477,0.16411849,h,-1.6278982,PA.265477
PA.265605,0.215556363,h,-1.2917523,PA.265605
PA.265607,0.234713576,h,-1.18188423,PA.265607
PA.265646,0.413463954,h,-0.34966379,PA.265646
PA.268694,0.24240663,h,-1.13953019,PA.268694
PA.268696,0.213595388,h,-1.30338792,PA.268696
PA.269113,0.463996761,h,-0.14426263,PA.269113
PA.269301,0.366249719,h,-0.54833961,PA.269301
PA.269439,0.220986754,h,-1.25992529,PA.269439
PA.269519,0.242708319,h,-1.1378881,PA.269519
PA.269559,0.260507934,h,-1.04333024,PA.269559
PA.269561,0.261865532,h,-1.03629488,PA.269561
PA.270592,0.272424626,h,-0.98235563,PA.270592
PA.271080,0.165325244,h,-1.61912743,PA.271080
PA.271100,0.254625011,h,-1.07409551,PA.271100
PA.271120,0.238484681,h,-1.16100521,PA.271120
PA.271220,0.321448992,h,-0.74712078,PA.271220
PA.271222,0.316169445,h,-0.77143187,PA.271222
PA.271240,0.406374276,h,-0.37897443,PA.271240
PA.271302,0.118412697,h,-2.00754808,PA.271302
PA.271320,0.291280151,h,-0.88917479,PA.271320
PA.271956,0.390083103,h,-0.44696291,PA.271956
PA.272176,0.506836514,h,0.02734776,PA.272176
PA.272996,0.274234757,h,-0.97324209,PA.272996
PA.272998,0.249496308,h,-1.10130045,PA.272998
PA.273219,0.201527852,h,-1.37677249,PA.273219
PA.273399,0.311040742,h,-0.79525823,PA.273399
PA.273519,0.327633604,h,-0.7189075,PA.273519
PA.273539,0.238937214,h,-1.15851504,PA.273539
PA.274966,0.257189362,h,-1.06062852,PA.274966
PA.275110,0.511814373,h,0.04726629,PA.275110
PA.215706,0.104685875,h,-2.14621043,PA.215706
PA.215869,0.151447577,h,-1.72329233,PA.215869
PA.254771,0.181163885,h,-1.5084819,PA.254771
PA.258532,0.131234455,h,-1.89008783,PA.258532
PA.258578,0.121278737,h,-1.98037623,PA.258578
PA.258589,0.107401071,h,-2.1175672,PA.258589
PA.258779,0.104384187,h,-2.14943334,PA.258779
PA.259993,0.091109897,h,-2.30015775,PA.259993
PA.259995,0.146771407,h,-1.76015118,PA.259995
PA.260126,0.122485491,h,-1.96910091,PA.260126
PA.260128,0.130631078,h,-1.89539042,PA.260128
PA.260164,0.092618339,h,-2.28207599,PA.260164
PA.260166,0.163816802,h,-1.63009898,PA.260166
PA.263258,0.139983418,h,-1.8154277,PA.263258
PA.263728,0.154916994,h,-1.6965454,PA.263728
PA.263785,0.07074593,h,-2.57528718,PA.263785
PA.263787,0.10091477,h,-2.18710154,PA.263787
PA.263842,0.178448689,h,-1.52689329,PA.263842
PA.263937,0.093674249,h,-2.26957546,PA.263937
PA.264450,0.12459731,h,-1.94959698,PA.264450
PA.264452,0.123692245,h,-1.95792076,PA.264452
PA.264640,0.189309472,h,-1.45450329,PA.264640
PA.264678,0.112077241,h,-2.06969647,PA.264678
PA.264773,0.127915882,h,-1.91951301,PA.264773
PA.264775,0.163967646,h,-1.62899819,PA.264775
PA.265296,0.098802951,h,-2.21059646,PA.265296
PA.265353,0.084774441,h,-2.37917645,PA.265353
PA.265355,0.08583035,h,-2.36564349,PA.265355
PA.265372,0.064108785,h,-2.68091784,PA.265372
