Sample_ID,Experimental_group,taxa,RA,cycle,animal
246.1.02,Mock,Acinetobacter,0.9,1,246
246.1.02,Mock,Actinomyces,4.61,1,246
246.1.02,Mock,Actinomycetales.Order.,0.68,1,246
246.1.02,Mock,Aerococcaceae(Family),2.64,1,246
246.1.02,Mock,Aerococcus,4.28,1,246
246.1.02,Mock,Allobaculum,4.45,1,246
246.1.02,Mock,Anaerococcus,9.21,1,246
246.1.02,Mock,Arcanobacterium,0.75,1,246
246.1.02,Mock,Bacteroidales_S24-7(Family),0.76,1,246
246.1.02,Mock,Chlamydia,0,1,246
246.1.02,Mock,Clostridiaceae.otu1,1.63,1,246
246.1.02,Mock,Clostridiaceae(Family),9.58,1,246
246.1.02,Mock,Corynebacterium,24.29,1,246
246.1.02,Mock,Enterococcus,4.67,1,246
246.1.02,Mock,Erysipelotrichacea_PSB-M-3,2.32,1,246
246.1.02,Mock,Escherichia,0.01,1,246
246.1.02,Mock,Facklamia,5.74,1,246
246.1.02,Mock,Helcococcus,0.97,1,246
246.1.02,Mock,Other,8.5,1,246
246.1.02,Mock,Peptococcus,0.6,1,246
246.1.02,Mock,Peptoniphilus,3.55,1,246
246.1.02,Mock,Porphyromonadaceae.Family.,0.75,1,246
246.1.02,Mock,Porphyromonas,5.25,1,246
246.1.02,Mock,Proteus,0.01,1,246
246.1.02,Mock,Ruminococcaceae.Family.,0.18,1,246
246.1.02,Mock,Rummeliibacillus,0.76,1,246
246.1.02,Mock,Solibacillus,0.15,1,246
246.1.02,Mock,Staphylococcus,1.05,1,246
246.1.02,Mock,Streptococcaceae.Family.,0.05,1,246
246.1.02,Mock,Weissella,1.58,1,246
246.1.05,Mock,Acinetobacter,0.2,1,246
246.1.05,Mock,Actinomyces,4.47,1,246
246.1.05,Mock,Actinomycetales.Order.,1.4,1,246
246.1.05,Mock,Aerococcaceae(Family),1.82,1,246
246.1.05,Mock,Aerococcus,5.49,1,246
246.1.05,Mock,Allobaculum,2.22,1,246
246.1.05,Mock,Anaerococcus,6.44,1,246
246.1.05,Mock,Arcanobacterium,1.64,1,246
246.1.05,Mock,Bacteroidales_S24-7(Family),0.17,1,246
246.1.05,Mock,Chlamydia,0,1,246
246.1.05,Mock,Clostridiaceae.otu1,0.72,1,246
246.1.05,Mock,Clostridiaceae(Family),11.47,1,246
246.1.05,Mock,Corynebacterium,29.05,1,246
246.1.05,Mock,Enterococcus,2.1,1,246
246.1.05,Mock,Erysipelotrichacea_PSB-M-3,0.62,1,246
246.1.05,Mock,Escherichia,0,1,246
246.1.05,Mock,Facklamia,5.14,1,246
246.1.05,Mock,Helcococcus,0.52,1,246
246.1.05,Mock,Other,6.9,1,246
246.1.05,Mock,Peptococcus,0.8,1,246
246.1.05,Mock,Peptoniphilus,6.26,1,246
246.1.05,Mock,Porphyromonadaceae.Family.,0.84,1,246
246.1.05,Mock,Porphyromonas,8.54,1,246
246.1.05,Mock,Proteus,0.01,1,246
246.1.05,Mock,Ruminococcaceae.Family.,0.25,1,246
246.1.05,Mock,Rummeliibacillus,0.34,1,246
246.1.05,Mock,Solibacillus,0.22,1,246
246.1.05,Mock,Staphylococcus,2.23,1,246
246.1.05,Mock,Streptococcaceae.Family.,0.07,1,246
246.1.05,Mock,Weissella,0.08,1,246
246.1.08,Mock,Acinetobacter,0.32,1,246
246.1.08,Mock,Actinomyces,10.53,1,246
246.1.08,Mock,Actinomycetales.Order.,0.46,1,246
246.1.08,Mock,Aerococcaceae(Family),1.93,1,246
246.1.08,Mock,Aerococcus,1.25,1,246
246.1.08,Mock,Allobaculum,1.13,1,246
246.1.08,Mock,Anaerococcus,10.18,1,246
246.1.08,Mock,Arcanobacterium,0.41,1,246
246.1.08,Mock,Bacteroidales_S24-7(Family),0.51,1,246
246.1.08,Mock,Chlamydia,0,1,246
246.1.08,Mock,Clostridiaceae.otu1,0.26,1,246
246.1.08,Mock,Clostridiaceae(Family),1.46,1,246
246.1.08,Mock,Corynebacterium,46.25,1,246
