Sample_ID,Experimental_group,taxa,RA,cycle,animal
249.1.02,Non-infected,Acinetobacter,0,1,249
249.1.02,Non-infected,Actinomyces,7.4,1,249
249.1.02,Non-infected,Actinomycetales.Order.,0.46,1,249
249.1.02,Non-infected,Aerococcaceae(Family),3.31,1,249
249.1.02,Non-infected,Aerococcus,0.31,1,249
249.1.02,Non-infected,Allobaculum,1.2,1,249
249.1.02,Non-infected,Anaerococcus,12.1,1,249
249.1.02,Non-infected,Arcanobacterium,1.8,1,249
249.1.02,Non-infected,Bacteroidales_S24-7(Family),0.36,1,249
249.1.02,Non-infected,Chlamydia,0,1,249
249.1.02,Non-infected,Clostridiaceae.otu1,2.92,1,249
249.1.02,Non-infected,Clostridiaceae(Family),19.03,1,249
249.1.02,Non-infected,Corynebacterium,6.04,1,249
249.1.02,Non-infected,Enterococcus,0.17,1,249
249.1.02,Non-infected,Erysipelotrichacea_PSB-M-3,2.68,1,249
249.1.02,Non-infected,Escherichia,0,1,249
249.1.02,Non-infected,Facklamia,5.63,1,249
249.1.02,Non-infected,Helcococcus,0.58,1,249
249.1.02,Non-infected,Other,14.1,1,249
249.1.02,Non-infected,Peptococcus,0.6,1,249
249.1.02,Non-infected,Peptoniphilus,7.76,1,249
249.1.02,Non-infected,Porphyromonadaceae.Family.,2.61,1,249
249.1.02,Non-infected,Porphyromonas,10.11,1,249
249.1.02,Non-infected,Proteus,0.62,1,249
249.1.02,Non-infected,Ruminococcaceae.Family.,0.1,1,249
249.1.02,Non-infected,Rummeliibacillus,0,1,249
249.1.02,Non-infected,Solibacillus,0,1,249
249.1.02,Non-infected,Staphylococcus,0.1,1,249
249.1.02,Non-infected,Streptococcaceae.Family.,0,1,249
249.1.02,Non-infected,Weissella,0,1,249
249.1.05,Non-infected,Acinetobacter,0.91,1,249
249.1.05,Non-infected,Actinomyces,5.21,1,249
249.1.05,Non-infected,Actinomycetales.Order.,1.59,1,249
249.1.05,Non-infected,Aerococcaceae(Family),0.76,1,249
249.1.05,Non-infected,Aerococcus,3.42,1,249
249.1.05,Non-infected,Allobaculum,1.74,1,249
249.1.05,Non-infected,Anaerococcus,2.05,1,249
249.1.05,Non-infected,Arcanobacterium,2.68,1,249
249.1.05,Non-infected,Bacteroidales_S24-7(Family),0.47,1,249
249.1.05,Non-infected,Chlamydia,0,1,249
249.1.05,Non-infected,Clostridiaceae.otu1,0.57,1,249
249.1.05,Non-infected,Clostridiaceae(Family),14.61,1,249
249.1.05,Non-infected,Corynebacterium,38.93,1,249
249.1.05,Non-infected,Enterococcus,0.77,1,249
249.1.05,Non-infected,Erysipelotrichacea_PSB-M-3,0.83,1,249
249.1.05,Non-infected,Escherichia,0.3,1,249
249.1.05,Non-infected,Facklamia,1.73,1,249
249.1.05,Non-infected,Helcococcus,0.29,1,249
249.1.05,Non-infected,Other,10.7,1,249
249.1.05,Non-infected,Peptococcus,0.3,1,249
249.1.05,Non-infected,Peptoniphilus,3.81,1,249
249.1.05,Non-infected,Porphyromonadaceae.Family.,1.63,1,249
249.1.05,Non-infected,Porphyromonas,4.17,1,249
249.1.05,Non-infected,Proteus,0.09,1,249
249.1.05,Non-infected,Ruminococcaceae.Family.,0.37,1,249
249.1.05,Non-infected,Rummeliibacillus,0.34,1,249
249.1.05,Non-infected,Solibacillus,0.83,1,249
249.1.05,Non-infected,Staphylococcus,0.91,1,249
249.1.05,Non-infected,Streptococcaceae.Family.,0,1,249
249.1.05,Non-infected,Weissella,0,1,249
249.1.08,Non-infected,Acinetobacter,0.06,1,249
249.1.08,Non-infected,Actinomyces,1.49,1,249
249.1.08,Non-infected,Actinomycetales.Order.,0.66,1,249
249.1.08,Non-infected,Aerococcaceae(Family),0.19,1,249
249.1.08,Non-infected,Aerococcus,2.72,1,249
249.1.08,Non-infected,Allobaculum,0.4,1,249
249.1.08,Non-infected,Anaerococcus,27.4,1,249
249.1.08,Non-infected,Arcanobacterium,0.27,1,249
249.1.08,Non-infected,Bacteroidales_S24-7(Family),0.02,1,249
249.1.08,Non-infected,Chlamydia,0,1,249
249.1.08,Non-infected,Clostridiaceae.otu1,1.53,1,249
249.1.08,Non-infected,Clostridiaceae(Family),2.34,1,249
249.1.08,Non-infected,Corynebacterium,24.99,1,249
249.1.08,Non-infected,Enterococcus,0.44,1,249
249.1.08,Non-infected,Erysipelotrichacea_PSB-M-3,0.06,1,249
249.1.08,Non-infected,Escherichia,0,1,249
249.1.08,Non-infected,Facklamia,1.18,1,249
