SampleID,Lactobacillus_iners,Corynebacterium_accolens,Gardnerella_vaginalis,Aerococcus_viridans,Alloscardovia_omnicolens,Anaerococcus,Porphyromonas_bennonis,Atopobium_vaginae,Clostridiales,Anaerococcus_vaginalis,Peptoniphilus,Peptoniphilus_harei,Actinomyces_urogenitalis,Actinomyces_urogenitalis,Staphylococcus,Megasphaera,Enterococcus,Arcanobacterium,Lactobacillus_jensenii,Gemella,Eubacterium_saphenum,Bacteroidales,Sutterella,Porphyromonas,Finegoldia_magna,Lactobacillales,Fusobacterium_nucleatum,BVAB2,Parvimonas_micra,BVAB1,Aerococcus_christensenii,Enterococcus_avium,Enterococcus_faecalis,Clostridiales_Family_XI._Incertae_Sedis,Streptococcus,Peptostreptococcus,Proteobacteria,Streptococcus_agalactiae,Bacteroides_coagulans,Weissella_paramesenteroides,Bifidobacteriaceae,Lactobacillus_gasseri,BVAB3,Bacillales,Acinetobacter_calcoaceticus/baumannii_complex,Actinobacteridae,Anaerococcus_tetradius,Bifidobacterium_breve,Prevotella_bivia,Firmicutes,Escherichia_coli,Streptococcus_salivarius,Atopobium,Eubacterium_siraeum,Enterobacteriaceae,Megasphaera_sp._type_2,Arcanobacterium_phocae,Dialister_sp._type_2,Prevotella_genogroup_3,Prevotella,Prevotella_genogroup_1,Lactobacillus_crispatus,Bacteroides_uniformis,Staphylococcus_capitis,Prevotella_genogroup_2,candidate_division_TM7,Sneathia_sanguinegens,Mobiluncus,Peptostreptococcus_stomatis,Leptotrichia_amnionii,Pediococcus_acidilactici,Mycoplasmataceae,Peptoniphilus_lacrimalis,Lactobacillus,Acinetobacter_baumannii,Agrobacterium_tumefaciens,Peptoniphilus_asaccharolyticus,Actinomyces,Mycoplasmataceae,Roseburia_faecis,Eggerthella,Coriobacteriaceae,Sutterella_morbirenis,Dialister,Megasphaera,Lactobacillus_vaginalis,Lactobacillus_fermentum,Actinomycetaceae,Mobiluncus_curtisii,Veillonellaceae,Staphylococcus_lugdunensis,Veillonella_parvula,Bacteroides,Roseburia,Actinobacteria_(class),Mycoplasma_hominis,Raoultella_planticola,Acinetobacter_calcoaceticus,Lachnospiraceae,Veillonella,Lactobacillus_coleohominis,Veillonella_montpellierensis,Staphylococcus_haemolyticus,Prevotella_disiens,Catonella_morbi,Lactobacillus_salivarius,Clostridium_colicanis,Prevotella_genogroup_4,Eubacterium_rectale,Lactobacillaceae,Varibaculum_cambriense,Pseudomonas,Streptococcus_anginosus,Aerococcus,Fusobacterium,Streptococcus_parasanguinis,Roseburia_hominis,Roseburia_intestinalis,Lactobacillus_OTU2,Ureaplasma,Prevotella_melaninogenica,Gammaproteobacteria,Dialister_sp._type_3,Fusobacterium_gonidiaformans,Prevotella_buccalis,Streptococcus_sanguinis,Streptococcus_mitis,Sneathia,Enterococcus_faecium,Actinomyces_meyeri,Campylobacter_ureolyticus,Porphyromonas_endodontalis,Actinomyces_neuii,Eubacterium_eligens,Lactobacillus_casei,Streptococcus_oralis,Prevotella_genogroup_6,Bifidobacterium_bifidum,Staphylococcus_hominis,Streptococcus_equinus,Shuttleworthia_satelles,Porphyromonas_asaccharolytica,Eubacterium,Lactobacillus_helveticus,Ureaplasma_urealyticum,Arcanobacterium_haemolyticum,Porphyromonas_sp._type_1,Staphylococcus_aureus,Streptococcus_mutans,Fusobacteriaceae,Prevotella_genogroup_5,Atopobium_minutum,Veillonella_atypica,Atopobium_rimae,Porphyromonas_uenonis,Lactobacillus_OTU1,Lactobacillus_OTU3,Mycoplasma_genitalium,Lactobacillus_mucosae,Serratia_marcescens,Mycoplasma,Bifidobacterium,Streptococcus_anginosus_group,Mobiluncus_mulieris,Streptococcus_intermedius
GPVM004246.1.02,0,0.19554721,0,0.022263948,0.056330472,0.056330472,0.018776824,0.00026824,0.101126609,0.059281116,0.012339056,0.018240343,0.013680258,0.013680258,0.044259657,0,0.020922747,0.021995708,0,0.010729614,0.021190987,0.061158798,0.038090129,0.011534335,0.008851931,0.03111588,0,0.000804721,0.000536481,0,0,0.015021459,0.010997854,0.012070815,0.00751073,0.003218884,0.004023605,0,0.006437768,0.019313305,0.00026824,0,0,0.000804721,0.002145923,0.003755365,0,0,0,0.010997854,0,0,0,0.028969957,0,0,0.001877682,0,0,0.000536481,0,0,0.005901288,0.001341202,0,0.001072961,0,0,0,0,0.00026824,0.003487124,0,0.00777897,0.000536481,0.002682403,0,0.001877682,0,0.008583691,0.00026824,0,0.000536481,0,0,0,0.001609442,0,0,0.001877682,0,0,0,0.003218884,0.000804721,0,0.006974249,0.000536481,0.004291845,0,0,0,0,0,0.001877682,0,0,0,0.001609442,0.000536481,0.000804721,0,0,0,0.000804721,0,0.000536481,0.000536481,0,0,0,0,0,0,0,0.00026824,0.00026824,0.00026824,0,0,0,0,0,0.000536481,0,0,0,0,0.000536481,0,0.00026824,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.1.05,0,0.326218284,0,0.061014901,0.052960129,0.052960129,0.053966975,0,0.02919855,0.024768425,0.025171164,0.01751913,0.033024567,0.033024567,0.019130085,0,0.021949255,0.013693113,0,0.013894482,0.024969795,0.004027386,0.0203383,0.02617801,0.015102698,0.004832863,0.006846557,0.000402739,0.012484897,0,0,0.004631494,0.00583971,0.011075312,0.001006847,0.003221909,0.031010874,0,0.003423278,0,0,0,0,0.009665727,0.005235602,0.00281917,0,0,0,0.000402739,0,0,0,0.000805477,0.000604108,0,0.00302054,0,0,0,0,0,0.000201369,0.000805477,0,0,0,0,0.013894482,0,0.004027386,0.000604108,0,0,0.001812324,0.003423278,0,0.002215062,0,0,0.000201369,0.002416432,0.000805477,0,0,0,0.000201369,0,0,0.000201369,0.000402739,0,0,0,0,0,0,0,0,0,0,0,0,0.000604108,0,0.000201369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201369,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.1.08,0.000213812,0.268762027,0,0.08466966,0.043617704,0.043617704,0.045542014,0,0.061364122,0.018601668,0.016249733,0.015394484,0.043190079,0.043190079,0.017104982,0,0.011759675,0.024160787,0,0.009193928,0.035492837,0.00748343,0.004062433,0.017960231,0.013470173,0.014753047,0,0.003848621,0.000213812,0,0,0.004276245,0.011118238,0.004276245,0.003634809,0.004062433,0.005772931,0,0.008552491,0,0.000427625,0,0,0.002138123,0,0.000855249,0,0,0,0.002565747,0,0.000213812,0,0.001282874,0,0,0.00192431,0,0,0.000213812,0,0,0,0.001282874,0,0,0,0,0,0,0.000427625,0.001496686,0,0.000213812,0.000213812,0.000427625,0,0,0,0.001496686,0.001282874,0.001496686,0.000213812,0,0,0,0.000855249,0,0,0,0,0.000427625,0,0,0.001710498,0,0.000855249,0,0.000213812,0,0,0,0.000213812,0,0,0.000855249,0.000855249,0,0,0,0,0,0,0.001069061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000427625,0,0,0,0,0,0,0,0,,0.000213812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.1.11,0,0.3,0,0.103666667,0.071666667,0.071666667,0.050833333,0.000166667,0.033333333,0.031666667,0.0145,0.023833333,0.047,0.047,0.013666667,0,0.010833333,0.019333333,0,0.005,0.017,0.004166667,0.0065,0.013,0.008666667,0.0095,0,0.002,0,0,0,0.004833333,0.009,0.004166667,0.002333333,0.002333333,0.003833333,0,0.005833333,0,0,0.000333333,0,0.001166667,0.000333333,0.0005,0,0,0,0.001333333,0,0,0,0.0005,0,0,0.001333333,0,0,0,0,0,0.000166667,0.0005,0,0,0,0,0,0,0.0005,0.002333333,0,0.000166667,0.0005,0.000333333,0,0,0,0,0.000333333,0.000666667,0.0005,0,0,0,0.001666667,0.000166667,0,0.000333333,0,0.000166667,0,0,0.000166667,0,0,0,0,0,0,0,0.000166667,0,0,0.001,0.001,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333333,0,0,0,0,0,0.000166667,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.1.14,0.000199521,0.224261772,0,0.049281724,0.068435754,0.068435754,0.069233839,0,0.03990423,0.05905826,0.069034318,0.071628093,0.03292099,0.03292099,0.004988029,0,0.00518755,0.034916201,0,0.007581804,0.023343974,0.006584198,0.001596169,0.01396648,0.008978452,0.005985634,0.000997606,0.002793296,0.000399042,0,0,0.00179569,0.005387071,0.013168396,0.001596169,0.001197127,0.011173184,0.000199521,0.00698324,0.000199521,0,0,0,0.000598563,0.001197127,0.002394254,0,0,0,0.000798085,0,0,0,0.001596169,0.000598563,0,0.000798085,0,0,0.000199521,0,0,0.002593775,0.003591381,0,0,0,0,0.001596169,0,0.001396648,0.000997606,0,0.000199521,0.001396648,0,0,0,0,0.000598563,0.000199521,0.001396648,0.000399042,0,0,0,0.001197127,0.000399042,0,0,0,0,0,0.000199521,0.000798085,0,0.000199521,0.000199521,0,0.000399042,0,0,0,0,0.000199521,0.000598563,0,0,0,0,0.000798085,0,0,0.000199521,0.000199521,0,0.000598563,0.000598563,0,0,0.000399042,0,0,0,0,0,0,0,0,0.000199521,0,0,0,0,0.000199521,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.000199521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.1.16,0,0.261891542,0,0.103831205,0.028872848,0.028872848,0.029613178,0,0.026281695,0.034980566,0.012400518,0.005182306,0.011660189,0.011660189,0.03053859,0,0.10734777,0.023320378,0,0.009624283,0.006107718,0.041458449,0.031278919,0.013511012,0.015361836,0.015917083,0.002591153,0,0.000555247,0,0,0.027022025,0.012585601,0.008883953,0.003701647,0.000370165,0.0094392,0,0.001480659,0.002961318,0,0,0,0.008143624,0.013696095,0.003516565,0,0,0,0.004441977,0,0,0,0.014806589,0.000185082,0,0.005182306,0,0,0.001850824,0,0.000185082,0.001480659,0.000185082,0,0.000185082,0,0,0,0,0,0.002220988,0,0.000370165,0.001665741,0.000740329,0,0.002035906,0,0.001295577,0,0.000370165,0.000740329,0,0,0,0.000185082,0,0,0,0.000555247,0,0,0.000555247,0.001295577,0,0.002961318,0.0062928,0.002035906,0,0,0,0.000185082,0,0.001295577,0,0,0,0.000370165,0,0.000185082,0,0,0,0,0,0.000185082,0.000185082,0,0,0.000925412,0,0,0,0,0,0.000370165,0,0,0.000185082,0,0,0,0.000185082,0,0,0.000185082,0,0,0,0,0,,0,0,0,0,0,0,0,0.000370165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.2.02,0,0.44309437,0,0.042932361,0.03564196,0.03564196,0.02673147,0,0.046577562,0.022681247,0.020251114,0.038477116,0.034831916,0.034831916,0.02673147,0,0.010935601,0.011745646,0,0.010935601,0.03199676,0.003240178,0.006075334,0.006480356,0.024301337,0.010935601,0,0.001620089,0.000405022,0,0,0.002430134,0.011340624,0.00526529,0.0036452,0.0036452,0.007290401,0,0.006885379,0.001215067,0,0,0,0.005670312,0.000405022,0.001620089,0,0,0,0.001620089,0,0,0,0.000810045,0,0,0.001215067,0,0,0,0,0,0.000810045,0,0,0,0,0,0,0,0,0.002025111,0,0.000405022,0.001215067,0.002025111,0,0.001215067,0,0,0.000405022,0.006480356,0.002025111,0,0,0,0,0.000405022,0,0.000405022,0,0,0,0.000405022,0.000810045,0,0.000405022,0,0,0.000405022,0,0,0,0,0,0.000810045,0.000405022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.2.08,0.000194742,0.317624148,0,0.073612463,0.090749757,0.090749757,0.044206426,0,0.023174294,0.049659202,0.035248296,0.043427459,0.015579357,0.015579357,0.056864654,0,0.005647517,0.018111003,0,0.011295034,0.016747809,0.006815969,0.001363194,0.006231743,0.004089581,0.002726388,0.000778968,0.000778968,0.015579357,0,0,0.00194742,0.004673807,0.011100292,0.001168452,0.001557936,0.005258033,0,0.003700097,0.000194742,0,0,0,0.002336904,0.00097371,0.001752678,0,0,0,0.001557936,0,0,0,0.000778968,0.000194742,0,0.000194742,0,0,0.000389484,0,0,0.000194742,0.004284323,0,0.000584226,0,0,0.004673807,0,0.001168452,0.001168452,0,0.000194742,0.00097371,0,0,0.000778968,0,0.001168452,0.000389484,0.000778968,0,0,0,0,0.000194742,0.000194742,0,0,0,0.000194742,0,0.000194742,0,0,0.000194742,0,0.000194742,0,0,0,0.00097371,0,0.000194742,0.000194742,0.000194742,0,0,0,0.001363194,0,0,0.000584226,0,0,0.00097371,0.00097371,0,0,0.000194742,0,0,0,0,0,0,0,0.000778968,0,0,0.000194742,0,0,0.000194742,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.2.11,0,0.370772176,0,0.029537788,0.049320813,0.049320813,0.053332118,0.000273498,0.027532136,0.034278421,0.038472058,0.021788677,0.048773817,0.048773817,0.011122254,0,0.018962531,0.020421187,0,0.00319081,0.013583736,0.005743459,0.004284803,0.005014131,0.004284803,0.005287629,9.12E-05,0.002096818,0.001549822,0,0,0.007019783,0.004740633,0.004740633,0.01531589,0.006837451,0.004558301,9.12E-05,0.006746285,0.06837451,9.12E-05,0,0,0.006290455,0.001276324,0.001549822,0,0,0,0.00136749,0,0,0,0.001185158,0,0,0.00091166,0,0,9.12E-05,0,0.000546996,0.004284803,0,0,0,0,0,9.12E-05,0,0.001640988,0.002005652,0,0.002370316,0.000273498,9.12E-05,0,0.000182332,0,0.000364664,0,0.000638162,0.000273498,0,0,0,0.003008478,9.12E-05,0,0.000273498,0,0.000638162,0,9.12E-05,0.000820494,0,0.000182332,9.12E-05,0.000364664,0,0,0,0.000273498,0,0.000638162,0.000729328,0.000273498,0,0.001458656,0,0.002005652,0,0,0.000273498,0,0,0.000182332,0.000182332,0,0,0,0,0,0,0,0,0,0,0,9.12E-05,9.12E-05,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004246.2.14,0.000595593,0.152769506,0,0.08308517,0.03305539,0.03305539,0.012209649,0,0.103633115,0.019952353,0.01131626,0.020547945,0.003275759,0.003275759,0.022334723,0,0.02501489,0.005062537,0,0.001786778,0.002680167,0.131923764,0.007444908,0.008933889,0.010125074,0.031268612,0,0.001488982,0.000297796,0,0,0.010125074,0.02739726,0.004466945,0.010422871,0.000297796,0.002977963,0,0.00238237,0.000297796,0,0,0,0.001786778,0.00238237,0.003871352,0,0,0,0.027992853,0,0,0,0.077129244,0,0,0.000595593,0,0,0.002680167,0,0.000595593,0.001191185,0.001191185,0,0.002680167,0,0,0,0,0.000297796,0.013996426,0,0.001191185,0.000595593,0.000595593,0,0,0,0.016378797,0.000893389,0,0.000297796,0,0,0,0.000893389,0,0,0.004764741,0.000893389,0.000893389,0,0,0,0,0.007147111,0,0.000893389,0.000297796,0,0,0.000595593,0,0.002977963,0,0.000297796,0,0.004466945,0,0,0,0,0,0,0,0,0,0,0,0.000893389,0,0,0,0,0,0,0,0,0,0.000893389,0,0,0,0,0,0.000595593,0,0,0,0.000297796,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
