SampleID,species
GPVM004246.1.02,gp
GPVM004246.1.05,gp
GPVM004246.1.08,gp
GPVM004246.1.11,gp
GPVM004246.1.14,gp
GPVM004246.1.16,gp
GPVM004246.2.02,gp
GPVM004246.2.08,gp
GPVM004246.2.11,gp
GPVM004246.2.14,gp
GPVM004246.2.16,gp
GPVM004247.1.02,gp
GPVM004247.1.05,gp
GPVM004247.1.08,gp
GPVM004247.1.14,gp
GPVM004247.1.16,gp
GPVM004247.2.02,gp
GPVM004247.2.05,gp
GPVM004247.2.11,gp
GPVM004247.2.14,gp
GPVM004248.2.11,gp
GPVM004248.2.14,gp
GPVM004248.2.16,gp
GPVM004249.1.02,gp
GPVM004249.1.05,gp
GPVM004249.1.08,gp
GPVM004249.1.11,gp
GPVM004249.1.14,gp
GPVM004249.2.02,gp
GPVM004249.2.05,gp
GPVM004249.2.08,gp
GPVM004249.2.11,gp
GPVM004249.2.14,gp
GPVM004249.2.16,gp
GPVM004250.1.02,gp
GPVM004250.1.05,gp
GPVM004250.1.08,gp
GPVM004250.1.11,gp
GPVM004250.1.14,gp
GPVM004250.1.16,gp
GPVM004250.2.02,gp
GPVM004250.2.05,gp
GPVM004250.2.08,gp
GPVM004250.2.11,gp
GPVM004250.2.14,gp
GPVM004250.2.16,gp
GPVM004251.2.11,gp
GPVM004251.2.16,gp
GPVM004252.1.02,gp
GPVM004252.1.05,gp
GPVM004252.1.08,gp
GPVM004252.1.11,gp
GPVM004252.1.14,gp
GPVM004252.1.16,gp
GPVM004252.2.02,gp
GPVM004252.2.05,gp
GPVM004252.2.08,gp
GPVM004252.2.11,gp
GPVM004252.2.14,gp
GPVM004252.2.16,gp
GPVM004253.1.02,gp
GPVM004253.1.05,gp
GPVM004253.1.08,gp
GPVM004253.1.11,gp
GPVM004253.1.14,gp
GPVM004253.1.16,gp
GPVM004253.2.02,gp
GPVM004253.2.05,gp
GPVM004253.2.08,gp
GPVM004253.2.11,gp
GPVM004253.2.14,gp
GPVM004253.2.16,gp
GPVM004254.1.02,gp
GPVM004254.1.05,gp
GPVM004254.1.08,gp
GPVM004254.1.11,gp
GPVM004254.1.14,gp
GPVM004254.1.16,gp
GPVM004254.2.02,gp
GPVM004254.2.08,gp
GPVM004254.2.11,gp
GPVM004254.2.14,gp
GPVM004254.2.16,gp
GPVM004255.1.02,gp
GPVM004255.1.05,gp
GPVM004255.1.08,gp
GPVM004255.1.11,gp
GPVM004255.1.14,gp
GPVM004255.1.16,gp
GPVM004255.2.02,gp
GPVM004255.2.05,gp
GPVM004255.2.08,gp
GPVM004255.2.11,gp
GPVM004255.2.14,gp
GPVM004255.2.16,gp
GPVM004256.1.02,gp
GPVM004256.1.05,gp
GPVM004256.1.08,gp
GPVM004256.1.11,gp
GPVM004256.1.14,gp
GPVM004256.1.16,gp
GPVM004256.2.02,gp
GPVM004256.2.05,gp
GPVM004256.2.08,gp
GPVM004256.2.11,gp
GPVM004256.2.14,gp
GPVM004256.2.16,gp
GPVM004257.2.11,gp
GPVM004257.2.14,gp
GPVM004257.2.16,gp
GPVM004258.2.11,gp
GPVM004258.2.14,gp
GPVM004258.2.16,gp
GPVM004259.1.02,gp
GPVM004259.1.05,gp
GPVM004259.1.08,gp
GPVM004259.1.11,gp
GPVM004259.1.14,gp
GPVM004259.1.16,gp
GPVM004259.2.02,gp
GPVM004259.2.05,gp
GPVM004259.2.08,gp
GPVM004259.2.16,gp
GPVM004260.2.08,gp
GPVM004260.2.11,gp
GPVM004260.2.14,gp
GPVM004260.2.16,gp
PA.254771,hm
PA.254824,hm
PA.259993,hm
PA.260012,hm
PA.260069,hm
PA.260126,hm
PA.260145,hm
PA.260164,hm
PA.260183,hm
PA.260221,hm
PA.263258,hm
PA.263633,hm
PA.263652,hm
PA.263690,hm
PA.263728,hm
PA.263747,hm
PA.263785,hm
PA.263823,hm
PA.263861,hm
PA.263880,hm
PA.263899,hm
PA.263918,hm
PA.263937,hm
PA.263956,hm
PA.263975,hm
PA.264108,hm
PA.264165,hm
PA.264184,hm
PA.264203,hm
PA.264222,hm
PA.264241,hm
PA.264279,hm
PA.264298,hm
PA.264393,hm
PA.264450,hm
PA.264488,hm
PA.264507,hm
PA.264526,hm
PA.264564,hm
PA.264583,hm
PA.264602,hm
PA.264640,hm
PA.264678,hm
PA.264697,hm
PA.264773,hm
PA.264792,hm
PA.264849,hm
PA.264868,hm
PA.264887,hm
PA.264906,hm
PA.264953,hm
PA.265239,hm
PA.265277,hm
PA.265315,hm
PA.265334,hm
PA.265353,hm
PA.265372,hm
PA.265391,hm
PA.265458,hm
PA.265496,hm
PA.265586,hm
PA.265605,hm
PA.265646,hm
PA.265665,hm
PA.265845,hm
PA.268675,hm
PA.268694,hm
PA.269053,hm
PA.269113,hm
PA.269132,hm
PA.269173,hm
PA.269192,hm
PA.269211,hm
PA.270033,hm
PA.270053,hm
PA.270073,hm
PA.270592,hm
PA.270612,hm
PA.270632,hm
PA.270652,hm
PA.270712,hm
PA.270772,hm
PA.270792,hm
PA.270832,hm
PA.270852,hm
PA.270872,hm
PA.270892,hm
PA.270912,hm
PA.270932,hm
PA.271020,hm
PA.271060,hm
PA.271080,hm
PA.271120,hm
PA.271200,hm
PA.271240,hm
PA.271260,hm
PA.271280,hm
PA.271300,hm
PA.271320,hm
PA.271380,hm
PA.271420,hm
PA.271956,hm
PA.272056,hm
PA.272116,hm
PA.272136,hm
PA.272276,hm
PA.272356,hm
PA.272516,hm
PA.272676,hm
PA.272836,hm
PA.272916,hm
PA.273076,hm
PA.273219,hm
PA.273339,hm
PA.273359,hm
PA.273399,hm
PA.273459,hm
PA.273479,hm
PA.273519,hm
PA.273539,hm
PA.273639,hm
PA.273659,hm
PA.273699,hm
