ID,animal,Sample_ID,treatment,Day,Cycle,Experimental.group,day,day.f,Total.number.reads,total,Chlamydia,Corynebacterium,Anaerococcus,Clostridiaceae_Family,Peptoniphilus,Aerococcus,Facklamia,Allobaculum,Porphyromonas,Actinomyces,Enterococcus,Staphylococcus,Acinetobacter,Arcanobacterium,Aerococcaceae_Family,Bacteroidales_S24.7_Family,Bacteria_Kingdom,Escherichia,Solibacillus,Proteus,Helcococcus,Actinomycetales_Order,Clostridiaceae_otu1,Porphyromonadaceae_Family,Erysipelotrichacea_PSB.M.3,Ruminococcaceae_Family,Rummeliibacillus,Weissella,Peptococcus,Comamonas,Clostridiales_Order,Bifidobacterium,Lachnospiraceae_Family,Ignatzschineria,Micrococcaceae_Family,Jeotgalicoccus,Ruminococcus,Peptostreptococcus,Firmicutes_Phylum,Gemellaceae_Family,Bacilli_Class,Trichococcus,Clostridium,Oligella,Bacteroides,Flavobacteriaceae_Family,Streptococcaceae_Family,Arthrobacter,Ruminococcaceae_otu1,Wautersiella,Eubacteriaceae_Family,Mollicutes_RF39_Order,Microbispora,Enterobacteriaceae_otu1,Lachnospiraceae_otu1,Coriobacteriaceae_Family,Streptococcaceae_otu1,Sphingobacterium,Bulleidia,Actinomycetaceae_Family,Propionibacterium,Fusobacterium,Aerococcaceae_otu1,Brachybacterium,Erysipelothrix,Clostridia_Class,Desulfovibrio,Lactobacillales_Order,Varibaculum,Actinomycetaceae_otu1,Morganella,Leucobacter,Leuconostoc,Veillonella,Oscillospira,Bacteroidales_Order,Klebsiella,Staphylococcaceae_Family,Corynebacteriaceae_Family,Alloiococcus,Prevotella,Actinobacteria_Class,Methylobacterium,Moraxellaceae_Family,Gemellaceae_otu1,Bacillus,Salinispora,Microbacterium,Rhodobacter,Clostridiales_out1,Coprobacillaceae_Family,Enterobacteriaceae_Family,Propionibacteriaceae_Family,Sutterella,Rhodobacteraceae_Family,Lactobacillaceae_Family,Dysgonomonas,TM7.3_Class,Lactobacillus,Adlercreutzia,Cyanobacteria_4C0d.2.YS2_Order,Enterococcaceae_Family,Gammaproteobacteria_Class,Planococcaceae_Family,Yaniella,Bacillales_Order,Clostridia_otu1,Rubellimicrobium,Achromobacter,Bacteroidetes_Phylum,Porphyromonadaceae_out1,Jonesiaceae_Family,Fusobacteriaceae_Family,Pseudoclavibacter,Providencia,Lachnospiraceae_Ruminococcus,Mogibacterium,Brevibacterium,Erysipelotrichaceae_otu1,Spirosoma,Parabacteroides,Staphylococcaceae_otu1,Anaerostipes,TM7.3.CW040.F16.Family.,Tessaracoccus,Phascolarctobacterium,Coriobacteriaceae.otu1,Streptococcus,Leuconostocaceae.Family.,Methylobacteriaceae.Family.,Rikenellaceae.Family.,Vagococcus,Brevundimonas,Pseudomonas,Peptococcaceae.otu1,Peptococcaceae.rc4.4,Devosia,Alphaproteobacteria.RF32.Order.,Paracoccus,Xanthomonadaceae.Family.,Streptophyta.Order.,Victivallaceae.Family.,Intrasporangiaceae.family.,Alphaproteobacteria.Class.,Akkermansia,Butyricimonas,Anaeroplasma,Gardnerella,Sphingomonadaceae.Order.,Kocuria,Aurantimonadaceae.Family.,Haemophilus,Chryseobacterium,Hymenobacter,Leuconostocaceae.otu1,Neisseriaceae.Family.,Microbacteriaceae.Family.,Chitinophagaceae.Family.,Deinococcus,Comamonadaceae.Family.,Coriobacteriales.Order.,Abiotrophia,Erysipelotrichaceae.Family.,Eggerthella,Trabulsiella,Sedimentibacter,Gemella,Haloanella,Erwinia,Parascardovia,Peptococcaceae.Family.,Eikenella,Paenibacillus,Dermabacteraceae.Family.,Rothia,Proteobacteria.Phylum.,Dehalobacterium,Flavobacteriaceae.otu1,Burkholderiaceae.Family.,Enhydrobacter,Alcaligenaceae.Family.,Kytococcus,Bifidobacteriaceae.Family.,Micrococcus,Propionibacteriaceae.otu1,Paenibacillaceae.family.,Diaphorobacter,Dehalobacteriaceae.Family.,Finegoldia,Ureaplasma
246.1.2,246,246.1.02,2,2,1,Mock,1.2,1.2,8527,9370000,1,2276842.969,861508.1506,899968.3359,337350.7681,403282.5144,534047.1444,421963.1758,496685.8215,430754.0753,440643.8372,103293.0691,84612.40765,74722.64571,243947.461,74722.64571,103293.0691,0,18680.66143,0,93403.30714,65931.74622,149445.2914,74722.64571,215377.0376,18680.66143,74722.64571,149445.2914,56041.98429,37361.32286,28570.42336,18680.66143,84612.40765,121973.7305,28570.42336,0,9889.761933,0,18680.66143,9889.761933,9889.761933,0,56041.98429,9889.761933,9889.761933,9889.761933,9889.761933,28570.42336,9889.761933,9889.761933,28570.42336,9889.761933,0,0,9889.761933,56041.98429,0,0,0,9889.761933,0,0,0,0,18680.66143,0,0,9.89E+03,0,0,0,0,9889.761933,0,9889.761933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9889.761933,0,0,0.00E+00,0,0,0.00E+00,9889.761933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.1.8,246,246.1.08,2,8,1,Mock,1.8,1.8,9354,29600000,1,13705110.11,3018858.242,443019.0293,946162.0697,386059.4398,3876416.506,325935.4287,265811.4176,3107462.048,265811.4176,591746.8463,88603.80586,117083.6006,563267.0515,148727.817,148727.817,0,0,0,237331.6228,148727.817,88603.80586,28479.79474,60124.01112,88603.80586,28479.79474,28479.79474,117083.6006,28479.79474,28479.79474,88603.80586,117083.6006,0,0,0,60124.01112,28479.79474,0,0,28479.79474,0,28479.79474,0,0,0,0,0,28479.79474,0,0,0,0,0,0,0,0,0,0,28479.79474,0,0,28479.79474,0,0,0,28479.79474,2.85E+04,0,28479.79474,0,0,0,0,0,0,0,0,0,0,0,28479.79474,0,0,0,0,0,0,0,0,0,0,28479.79474,0,0,6.01E+04,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.1.11,246,246.1.11,2,11,1,Mock,1.11,1.11,5612,10200000,1,3244297.933,438025.6593,621596.5788,296258.0185,1448574.483,488916.6073,316250.8909,765181.7534,316250.8909,70883.82038,61796.1511,112687.0991,112687.0991,132679.9715,61796.1511,223556.6643,0,223556.6643,0,30898.07555,254454.7398,50890.94797,50890.94797,19992.87242,70883.82038,30898.07555,10905.20314,30898.07555,30898.07555,39985.74483,163578.047,19992.87242,10905.20314,0,10905.20314,19992.87242,0,61796.1511,0,39985.74483,61796.1511,19992.87242,0,0,19992.87242,0,0,10905.20314,0,19992.87242,10905.20314,0,0,0,0,0,0,0,0,0,0,30898.07555,0,10905.20314,10905.20314,10905.20314,1.09E+04,10905.20314,10905.20314,0,0,0,0,0,0,0,0,0,0,0,30898.07555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,10905.20314,0,0,0,0,0,10905.20314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.1.14,246,246.1.14,2,14,1,Mock,1.14,1.14,2929,14700000,1,5616012.291,998736.7702,1555821.099,1119187.436,617309.662,938511.4374,366370.775,396483.4414,441652.4411,296107.8867,105394.3325,105394.3325,205769.8873,381427.1082,45168.99966,90337.99932,0,145544.5545,0,90337.99932,90337.99932,60225.33288,60225.33288,60225.33288,30112.66644,105394.3325,0,30112.66644,105394.3325,30112.66644,15056.33322,15056.33322,30112.66644,15056.33322,0,15056.33322,45168.99966,15056.33322,60225.33288,30112.66644,15056.33322,15056.33322,15056.33322,0,15056.33322,0,30112.66644,0,30112.66644,15056.33322,0,0,0,0,0,0,0,15056.33322,30112.66644,0,15056.33322,15056.33322,0,15056.33322,0,0,0.00E+00,0,15056.33322,15056.33322,15056.33322,0,0,0,0,0,0,0,30112.66644,0,0,15056.33322,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15056.33322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.1.16,246,246.1.16,2,16,1,Mock,1.16,1.16,4154,26500000,1,13064997.59,2436928.262,2200890.708,663456.909,503972.0751,612421.7622,370004.8146,873976.8897,848459.3163,555007.222,51035.14685,370004.8146,210519.9807,76552.72027,0,663456.909,0,51035.14685,0,159484.8339,612421.7622,318969.6678,108449.687,76552.72027,0,159484.8339,0,51035.14685,133967.2605,51035.14685,25517.57342,0,76552.72027,25517.57342,0,0,133967.2605,76552.72027,76552.72027,51035.14685,25517.57342,0,25517.57342,0,133967.2605,0,51035.14685,25517.57342,25517.57342,0,0,0,0,0,25517.57342,0,0,25517.57342,25517.57342,0,0,51035.14685,0,0,0,0,2.55E+04,0,0,0,0,0,0,0,25517.57342,0,0,76552.72027,0,25517.57342,0,0,0,25517.57342,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,25517.57342,25517.57342,25517.57342,0,0,0,25517.57342,0,25517.57342,0,0,0,0,0,0,0,0,25517.57342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25517.57342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.2.2,246,246.2.02,2,2,2,Mock,2.2,2.2,4285,6540000,1,1694142.357,686814.4691,463981.3302,294567.0945,346459.7433,260989.4982,326618.4364,366301.0502,314408.4014,157204.2007,105311.5519,248779.4632,137362.8938,111416.5694,32051.34189,91575.26254,13736.28938,45787.63127,0,51892.64877,32051.34189,51892.64877,39682.61377,137362.8938,19841.30688,25946.32439,25946.32439,25946.32439,19841.30688,19841.30688,13736.28938,6105.017503,45787.63127,32051.34189,6105.017503,0,6105.017503,19841.30688,25946.32439,13736.28938,6105.017503,25946.32439,6105.017503,6105.017503,0,6105.017503,6105.017503,6105.017503,6105.017503,6105.017503,6105.017503,0,6105.017503,0,25946.32439,0,6105.017503,0,6105.017503,0,6105.017503,0,0,13736.28938,6105.017503,0,6.11E+03,0,6105.017503,6105.017503,0,0,0,0,0,0,0,0,0,0,0,0,6105.017503,6105.017503,0,6105.017503,6105.017503,0,0,0,0,0,6105.017503,6105.017503,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6105.017503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.2.5,246,246.2.05,2,5,2,Mock,2.5,2.5,3021,54600000,1,21778550.15,1644687.19,4048460.775,1192850.05,2674875.869,2241112.214,1698907.646,2729096.326,921747.7656,1861569.017,433763.6544,1807348.56,650645.4816,433763.6544,325322.7408,975968.2224,0,1192850.05,0,54220.4568,921747.7656,325322.7408,271102.284,487984.1112,271102.284,162661.3704,108440.9136,54220.4568,1084409.136,54220.4568,108440.9136,54220.4568,271102.284,487984.1112,162661.3704,54220.4568,0,108440.9136,0,216881.8272,216881.8272,162661.3704,0,0,162661.3704,0,108440.9136,54220.4568,216881.8272,0,0,54220.4568,54220.4568,0,54220.4568,0,325322.7408,0,0,0,0,0,54220.4568,0,54220.4568,0,1.08E+05,0,54220.4568,0,216881.8272,0,0,0,0,0,0,0,0,0,0,0,0,0,54220.4568,0,108440.9136,0,0,0,0,0,0,54220.4568,0.00E+00,0,54220.4568,0.00E+00,54220.4568,0,0,0,0,0,54220.4568,0,0,0,0,0,54220.4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54220.4568,0,0,0,54220.4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.2.8,246,246.2.08,2,8,2,Mock,2.8,2.8,12330,8150000,1,2534894.566,489132.1979,798475.2636,717173.5604,553909.1646,195652.8792,513588.8078,391305.7583,179128.1427,179128.1427,73369.82968,179128.1427,105758.3131,65437.9562,73369.82968,56845.09327,0,114351.176,0,24456.60989,40981.34631,40981.34631,32388.48337,40981.34631,32388.48337,40981.34631,56845.09327,40981.34631,130214.923,7931.873479,24456.60989,16524.73642,24456.60989,89894.5661,7931.873479,7931.873479,0,0,0,0,24456.60989,7931.873479,0,0,16524.73642,0,16524.73642,7931.873479,24456.60989,24456.60989,0,0,0,7931.873479,7931.873479,0,16524.73642,0,7931.873479,0,0,0,0,0,7931.873479,0,7.93E+03,0,0,0,16524.73642,0,0,0,0,0,0,0,0,0,0,0,0,0,7931.873479,7931.873479,16524.73642,16524.73642,0,0,0,7931.873479,0,7931.873479,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7931.873479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7931.873479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.2.11,246,246.2.11,2,11,2,Mock,2.11,2.11,6363,22000000,1,7129341.506,639635.3921,1583529.782,660380.3237,2925035.361,1296558.227,726072.6073,1078736.445,836712.2427,262769.1341,176331.9189,221279.2708,242024.2024,594688.0402,155586.9873,262769.1341,0,594688.0402,0,86437.21515,155586.9873,155586.9873,155586.9873,110639.6354,131384.567,86437.21515,20744.93164,86437.21515,155586.9873,44947.35188,286971.5543,65692.28351,65692.28351,86437.21515,20744.93164,20744.93164,20744.93164,44947.35188,20744.93164,65692.28351,176331.9189,65692.28351,0,0,65692.28351,0,65692.28351,20744.93164,0,20744.93164,20744.93164,0,0,0,0,0,20744.93164,0,20744.93164,0,20744.93164,65692.28351,0,20744.93164,0,20744.93164,2.07E+04,0,20744.93164,0,20744.93164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20744.93164,20744.93164,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.2.14,246,246.2.14,2,14,2,Mock,2.14,2.14,7202,13000000,1,3666064.982,1104693.141,104693.1408,806859.2058,52346.5704,90252.70758,104693.1408,104693.1408,90252.70758,90252.70758,39711.19134,0,52346.5704,0,12635.37906,90252.70758,25270.75812,12635.37906,1066787.004,39711.19134,12635.37906,39711.19134,12635.37906,25270.75812,0,0,0,1182310.469,25270.75812,182310.4693,0,0,0,12635.37906,0,0,1339350.181,25270.75812,897111.9134,0,0,12635.37906,0,12635.37906,0,25270.75812,12635.37906,0,0,0,0,0,25270.75812,0,0,0,0,819494.5848,0,0,572202.1661,0,0,0,0,0,0.00E+00,0,12635.37906,117328.5199,0,0,0,0,0,0,0,0,0,0,0,0,0,25270.75812,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25270.75812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12635.37906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
