SampleID,species
GPVM004248.1.02,gp
GPVM004248.1.05,gp
GPVM004248.1.08,gp
GPVM004248.1.11,gp
GPVM004248.1.14,gp
GPVM004248.1.16,gp
GPVM004248.2.02,gp
GPVM004248.2.05,gp
GPVM004248.2.08,gp
GPVM004251.1.02,gp
GPVM004251.1.05,gp
GPVM004251.1.08,gp
GPVM004251.1.11,gp
GPVM004251.1.14,gp
GPVM004251.1.16,gp
GPVM004251.2.02,gp
GPVM004251.2.05,gp
GPVM004251.2.08,gp
GPVM004257.1.02,gp
GPVM004257.1.05,gp
GPVM004257.1.08,gp
GPVM004257.1.11,gp
GPVM004257.1.14,gp
GPVM004257.1.16,gp
GPVM004257.2.02,gp
GPVM004257.2.05,gp
GPVM004257.2.08,gp
GPVM004258.1.02,gp
GPVM004258.1.05,gp
GPVM004258.1.08,gp
GPVM004258.1.11,gp
GPVM004258.1.16,gp
GPVM004258.2.02,gp
GPVM004258.2.05,gp
GPVM004260.1.02,gp
GPVM004260.1.05,gp
GPVM004260.1.08,gp
GPVM004260.1.11,gp
GPVM004260.1.16,gp
GPVM004260.2.02,gp
GPVM004260.2.05,gp
PA.215704,hm
PA.215770,hm
PA.215803,hm
PA.215836,hm
PA.215869,hm
PA.215902,hm
PA.215935,hm
PA.215968,hm
PA.216001,hm
PA.216034,hm
PA.216067,hm
PA.216100,hm
PA.216133,hm
PA.216166,hm
PA.254479,hm
PA.254498,hm
PA.254517,hm
PA.254536,hm
PA.254555,hm
PA.254574,hm
PA.254593,hm
PA.254612,hm
PA.254631,hm
PA.254650,hm
PA.254688,hm
PA.254707,hm
PA.254745,hm
PA.258513,hm
PA.258532,hm
PA.258551,hm
PA.258570,hm
PA.258589,hm
PA.258627,hm
PA.258646,hm
PA.258665,hm
PA.258684,hm
PA.258741,hm
PA.258779,hm
PA.258798,hm
PA.258817,hm
PA.258836,hm
PA.258855,hm
PA.258874,hm
PA.258893,hm
PA.258912,hm
PA.258931,hm
PA.258950,hm
PA.258988,hm
PA.259007,hm
PA.259026,hm
PA.259064,hm
PA.260050,hm
PA.260278,hm
PA.263842,hm
PA.264469,hm
PA.264621,hm
PA.264659,hm
PA.265258,hm
PA.265296,hm
PA.265477,hm
PA.265567,hm
PA.268713,hm
PA.269259,hm
PA.269279,hm
PA.269319,hm
PA.269359,hm
PA.269379,hm
PA.269419,hm
PA.269439,hm
PA.269459,hm
PA.269479,hm
PA.269499,hm
PA.269519,hm
PA.269539,hm
PA.269559,hm
PA.269599,hm
PA.269619,hm
PA.269639,hm
PA.270692,hm
PA.270812,hm
PA.271100,hm
PA.271220,hm
PA.271400,hm
PA.271696,hm
PA.271776,hm
PA.271936,hm
PA.272016,hm
PA.272036,hm
PA.272096,hm
PA.272176,hm
PA.272196,hm
PA.272256,hm
PA.272336,hm
PA.272496,hm
PA.272576,hm
PA.272596,hm
PA.272656,hm
PA.272736,hm
PA.272816,hm
PA.272896,hm
PA.272996,hm
PA.273056,hm
PA.273719,hm
PA.274966,hm
PA.275002,hm
PA.275038,hm
PA.275074,hm
PA.275110,hm
PA.275146,hm
PA.275182,hm
PA.275218,hm
PA.275254,hm
PA.275290,hm
PA.275649,hm
PA.275685,hm
PA.276705,hm
