SampleID,Gardnerella_vaginalis,Lactobacillus_iners,Corynebacterium_accolens,Atopobium_vaginae,Megasphaera,Aerococcus_viridans,Clostridiales,Alloscardovia_omnicolens,Anaerococcus,Peptoniphilus,Lactobacillus_jensenii,Anaerococcus_vaginalis,BVAB1,BVAB3,BVAB2,Streptococcus_agalactiae,Lactobacillus_crispatus,Mobiluncus,Porphyromonas_bennonis,Parvimonas_micra,Peptoniphilus_harei,Aerococcus_christensenii,Actinomyces_urogenitalis,Actinomyces_urogenitalis,Streptococcus,Staphylococcus,Megasphaera_sp._type_2,Bifidobacteriaceae,Gemella,Arcanobacterium,Peptostreptococcus,Bacteroidales,Finegoldia_magna,Eubacterium_saphenum,Sutterella,Prevotella_genogroup_2,Enterococcus,Anaerococcus_tetradius,Clostridiales_Family_XI._Incertae_Sedis,Escherichia_coli,Prevotella_genogroup_3,Fusobacterium_nucleatum,Atopobium,Prevotella_genogroup_1,Bacillales,Porphyromonas,Prevotella,Dialister_sp._type_2,Proteobacteria,Prevotella_bivia,Firmicutes,Lactobacillales,Enterococcus_faecalis,Sneathia_sanguinegens,Peptoniphilus_lacrimalis,Prevotella_melaninogenica,Bacteroides_coagulans,Actinomycetaceae,Enterococcus_avium,Bacteroides_uniformis,Eggerthella,Actinobacteridae,Eubacterium_siraeum,Peptoniphilus_asaccharolyticus,Lactobacillus_gasseri,Weissella_paramesenteroides,Mobiluncus_curtisii,Leptotrichia_amnionii,candidate_division_TM7,Streptococcus_salivarius,Mycoplasmataceae,Enterobacteriaceae,Megasphaera,Dialister,Peptostreptococcus_stomatis,Acinetobacter_calcoaceticus/baumannii_complex,Staphylococcus_capitis,Arcanobacterium_phocae,Veillonellaceae,Acinetobacter_baumannii,Streptococcus_mitis,Agrobacterium_tumefaciens,Sutterella_morbirenis,Mycoplasma_hominis,Lactobacillus,Lactobacillus_vaginalis,Mycoplasmataceae,Streptococcus_anginosus,Roseburia,Coriobacteriaceae,Prevotella_genogroup_4,Bacteroides,Actinomyces,Streptococcus_oralis,Lactobacillus_coleohominis,Ureaplasma,Staphylococcus_lugdunensis,Lactobacillaceae,Veillonella_montpellierensis,Pediococcus_acidilactici,Gammaproteobacteria,Prevotella_disiens,Roseburia_faecis,Clostridium_colicanis,Lactobacillus_fermentum,Actinobacteria_(class),Raoultella_planticola,Staphylococcus_haemolyticus,Fusobacterium_gonidiaformans,Prevotella_buccalis,Bifidobacterium_breve,Lachnospiraceae,Lactobacillus_OTU2,Veillonella,Staphylococcus_hominis,Aerococcus,Eubacterium_rectale,Veillonella_parvula,Varibaculum_cambriense,Streptococcus_equinus,Bifidobacterium_bifidum,Actinomyces_neuii,Sneathia,Catonella_morbi,Roseburia_hominis,Roseburia_intestinalis,Acinetobacter_calcoaceticus,Actinomyces_meyeri,Lactobacillus_salivarius,Streptococcus_parasanguinis,Fusobacterium,Ureaplasma_urealyticum,Porphyromonas_sp._type_1,Campylobacter_ureolyticus,Eubacterium,Dialister_sp._type_3,Staphylococcus_aureus,Porphyromonas_asaccharolytica,Porphyromonas_endodontalis,Enterococcus_faecium,Lactobacillus_casei,Fusobacteriaceae,Streptococcus_anginosus_group,Prevotella_genogroup_6,Shuttleworthia_satelles,Veillonella_atypica,Prevotella_genogroup_5,Eubacterium_eligens,Lactobacillus_OTU3,Streptococcus_mutans,Lactobacillus_helveticus,Mobiluncus_mulieris,Pseudomonas,Streptococcus_intermedius,Streptococcus_sanguinis,Lactobacillus_OTU1,Serratia_marcescens,Arcanobacterium_haemolyticum,Lactobacillus_mucosae,Porphyromonas_uenonis,Mycoplasma,Atopobium_minutum,Atopobium_rimae,Bifidobacterium,Mycoplasma_genitalium
GPVM004248.1.02,0,0,0.234016888,0,0,0.082629674,0.032569361,0.045536791,0.045536791,0.05066345,0,0.037997587,0,0,0.001206273,0,0.000301568,0,0.034680338,0.000301568,0.051568154,0,0.026537998,0.026537998,0.002412545,0.038600724,0,0,0.004523522,0.022316043,0.000904704,0.012967431,0.01628468,0.013570567,0.037092883,0,0.022316043,0,0.002714113,0,0,0,0,0,0.005126659,0.015379976,0,0,0.003618818,0,0.001206273,0.025030157,0.006936068,0,0,0.000301568,0.009951749,0,0.008443908,0.000301568,0,0.003015682,0.002110977,0,0,0.005729795,0,0,0,0,0,0,0,0,0,0.000603136,0,0.006936068,0.000301568,0.003015682,0,0.003920386,0.002714113,0,0.000603136,0,0.001507841,0,0,0.001206273,0,0,0.001206273,0,0,0,0,0,0,0.000301568,0,0,0.001507841,0,0.001507841,0.000904704,0.000603136,0.000603136,0,0,0,0.000301568,0,0.001507841,0,0.000301568,0,0.001507841,0,0,0,0,0.000301568,0,0,0,0,0.000301568,0.000603136,0.000301568,0,0,0,0.000301568,,0,0,0,0,0.000301568,0.000603136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004248.1.05,0,0,0.111609814,0,0,0.009874327,0.043087971,0.140335129,0.140335129,0.061340515,0,0.169958109,0,0,0.002094554,0.000598444,0.001196888,0,0.058647516,0,0.083183722,0,0.015858767,0.015858767,0.002094554,0.021843208,0,0,0.008677439,0.003590664,0.002393776,0.006582885,0.013464991,0.013764213,0.000598444,,0.003889886,0,0.00598444,0.000299222,,0,0,0,0.002094554,0.018252543,0,0,0.008378217,0,0.001795332,0.005685218,0.002094554,0,0,0,0.012567325,0,0.000897666,0,0.000299222,0.034111311,0.002393776,0,0,0.003291442,0,0,0.000897666,0,0,0.000299222,0,0,0.000598444,0.00149611,0.042190305,0,0,0.000299222,0.000299222,0.000299222,0.000299222,0,0.000598444,0,0.001795332,0,0.000897666,0.001196888,,0,0.000299222,0,0,0,0,0,0,0.000598444,0,0,0.001196888,0,0,0.000598444,0.001196888,0,0,0,0,0.000598444,0,0.000299222,0,0.000598444,0.000897666,0.000598444,0.000299222,0,0,0,0,0.000598444,0.000598444,0.000598444,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.000299222,0,0.000598444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004248.1.08,0,0,0.136967156,0.001048218,0,0.016072676,0.086303284,0.013102725,0.013102725,0.005939902,0,0.007686932,0,0,0.001397624,0,0.000349406,0,0.014325646,0.000174703,0.00524109,0,0.012403913,0.012403913,0.00873515,0.006114605,0,0.000349406,0.004367575,0.008211041,0.002795248,0.262753319,0.003668763,0.007162823,0.008560447,0,0.017295597,0,0.000873515,0.000174703,0,0.000174703,0,0,0.004367575,0.004018169,0.002795248,0,0.004018169,0,0.066037736,0.029000699,0.028825996,0,0,0.001921733,0.003144654,0,0.009783368,0.002096436,0.001397624,0.001222921,0.088574423,0,0,0.000174703,0,0,0.000174703,0,0,0,0,0,0.000174703,0,0.002445842,0.000349406,0.011530398,0,0,0.001222921,0.00349406,0,0.000698812,0,0.002795248,0,0.013277428,0.000349406,0,0,0.000174703,0,0,0,0.000174703,0.000349406,0,0,0,0,0.018343816,0.000524109,0.000174703,0.000174703,0.002795248,0,0,0,0,0.003668763,0,0.000349406,0,0.000174703,0.002620545,0.001048218,0.000174703,0,0,0,0,0.00349406,0.000524109,0.000524109,0,0,0.000524109,0,0,0,0,0.00174703,,0,0,0,0,0,0,0,0,0,0.000349406,0,0.000174703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004248.1.11,0,0,0.516914987,0,0,0.026468011,0.006836109,0.04312007,0.04312007,0.045048203,0,0.041893076,0,0,0.000175285,0,0.000175285,0,0.004206836,0.00035057,0.130236635,0,0.016476775,0.016476775,0.00035057,0.023488168,0,0,0.000876424,0.016476775,0.000175285,0.001226994,0.002103418,0.001752848,0.002979842,0,0.001226994,0,0.003856266,0,0,0,0,0,0.000525855,0.002278703,0,0,0.000175285,0,0.00035057,0.000525855,0.003155127,0,0,0,0.003680982,0,0.000525855,0,0,0.001928133,0.000876424,0,0,0.002453988,0,0,0,0,0,0,0,0,0,0,0.001051709,0.001402279,0,0,0,0,0.000175285,0,0,0,0.000175285,0,0.000175285,0,0,0,0.000525855,0,0,0,0,0,0,0.000175285,0,0,0.000175285,0,0.000701139,0.000175285,0,0.000525855,0,0,0,0,0,0,0,0.00035057,0,0.000175285,0,0,0,0,0,0.000175285,0.000175285,0.000175285,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004248.1.14,0,0,0.469574186,0,0,0.138058052,0.007514366,0.04965375,0.04965375,0.012376602,0,0.033740975,0,0,0.000589362,0.000147341,0,0,0.009871814,0.001178724,0.019154266,0,0.025489907,0.025489907,0.001473405,0.020627671,0,0.000294681,0.00279947,0.011492559,0.000442022,0.003978194,0.009577133,0.003094151,0.00574628,0,0.028584058,0,0.015765434,0.000294681,0,0.003830853,0,0,0.003241491,0.006482982,0,0,0.004714896,0,0.000884043,0.006040961,0.006482982,0,0,0.000294681,0.000589362,0,0.008398409,0.010461176,0,0.001326065,0.000442022,0,0,0.001620746,0,0,0,0,0,0.001915427,0,0,0,0.001031384,0,0.000442022,0,0.000294681,0,0.000294681,0.000442022,0,0,0,0.000884043,0,0,0.000442022,0,0,0.000294681,0,0,0,0,0,0,0.002652129,0,0,0,0,0.000147341,0,0,0.000147341,0,0,0,0,0,0,0,0,0,0.001473405,0,0,0,0,0,0,0,0,0.000147341,0,0,0,0,0,0,0.000147341,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004248.1.16,0,0,0.272899319,0,0,0.068887207,0.017789553,0.081377744,0.081377744,0.027252082,0,0.091597275,0,0,0.000378501,0,0,0,0.010976533,0.000378501,0.043906132,0,0.010976533,0.010976533,0.003028009,0.025359576,0,0,0.011355034,0.010976533,0,0.007948524,0.007570023,0.003785011,0.024224073,0,0.014383043,0,0.02346707,0,0,0.007570023,0,0,0.006056018,0.006056018,0.000378501,0,0.018925057,0,0,0.00984103,0.006434519,0,0,0,0.003028009,0,0.006434519,0.02006056,0.000378501,0.004163512,0.000757002,0,0,0.010219531,0,0,0.000757002,0,0,0.001135503,0,0,0.017789553,0.002271007,0.001135503,0.006056018,0.000757002,0.000757002,0,0.001892506,0.001514005,0,0.000378501,0,0.001892506,0,0,0.001514005,0,0,0,0,0,0,0.005299016,0,0,0.000378501,0,0,0.000378501,0.000378501,0.001135503,0,0.000378501,0.000757002,0,0,0,0,0,0,0,0,0,0,0.001892506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.001135503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000378501,0,0,0,0,0.000378501,0,0,0,0,0,0,0
GPVM004248.2.02,0,0,0.176893576,0,0,0.183125599,0.023969319,0.052732502,0.052732502,0.011025887,0,0.069511026,0,0,0.000479386,0.000479386,0,0,0.025407478,0,0.029721956,0,0.039309684,0.039309684,0.000479386,0.046979866,0,0.000479386,0.015819751,0.025886865,0.000479386,0.010067114,0.01725791,0.008628955,0.030201342,0,0.033077661,0,0.012464046,0,0,0.000958773,0,0,0.019175455,0.012464046,0,0,0.013902205,0,0.003355705,0.004793864,0.002876318,0,0,0,0.001438159,0,0.007670182,0.000958773,0,0.004314477,0.000479386,0,0,0.000479386,0,0,0.000479386,0,0,0.000958773,0,0,0,0.015819751,0,0.001438159,0.000479386,0.006711409,0,0.001438159,0.001917546,0,0,0,0.000958773,0,0,0,0,0,0.004314477,0,0,0,0,0,0,0.001438159,0,0.000479386,0,0,0,0.000479386,0,0,0,0,0,0,0,0,0,0,0.000479386,0,0,0,0,0,0,0,0,0,0.000479386,0,0,0.000479386,0,0,0,0,,0,0,0,0,0,0.000479386,0,0,0,0.000479386,0,0,0,0,0,0.000479386,0,0,0,0.000479386,0,0,0,0,0,0,0,0,0,0
GPVM004248.2.05,0,0,0.233766234,0,0,0.012987013,0.090909091,0.045454545,0.045454545,0.051948052,0,0.025974026,0,0,0,0,0,0,0.045454545,0,0.058441558,0,0.012987013,0.012987013,0,0.012987013,0,0,0.006493506,0.025974026,0.012987013,0,0.006493506,0.032467532,0.064935065,0,0.006493506,0,0,0,0,0,0,0,0,0.006493506,0,0,0.012987013,0,0,0,0.012987013,0,0,0,0,0,0.006493506,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032467532,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019480519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004248.2.08,0,0,0.208970438,0,0,0.173292559,0.036697248,0.021406728,0.021406728,0.008154944,0,0.033639144,0,0,0,0,0,0,0.027522936,0,0.011213048,0,0.032619776,0.032619776,0,0.044852192,0,0,0.016309888,0.042813456,0.004077472,0.004077472,0.019367992,0.026503568,0.058103976,0,0.022426096,0,0.001019368,0,0,0,0,0,0.004077472,0.037716616,0,0,0.027522936,0,0,0,0.001019368,0,0,0,0.004077472,0,0.002038736,0,0,0.00509684,0.001019368,0,0,0.002038736,0,0,0,0.002038736,0,0,0,0,0,0.00509684,0,0.004077472,0,0.00509684,0,0.002038736,0.00509684,0,0,0,0.002038736,0,0.002038736,0.002038736,0,0,0.001019368,0,0,0,0,0,0,0.003058104,0,0,0,0,0,0.001019368,0.001019368,0,0,0,0,0,0,0,0,0.001019368,0.001019368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.001019368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPVM004251.1.02,0,0,0.347885171,0,0,0.067946322,0.030066248,0.058263971,0.058263971,0.011211143,0,0.034312893,0,0,0.001019195,0,0.001019195,0,0.054357058,0.000679463,0.023441481,0,0.031934772,0.031934772,0.003057585,0.019194836,0,0,0.020723628,0.020553763,0.00203839,0.006794632,0.015287923,0.020893494,0.007643961,0,0.024460676,0,0.006624766,0.000339732,0,0.012739935,0,0,0.003057585,0.008323424,0,0,0.011550875,0,0.001358926,0.014098862,0.00849329,0,0,0,0.006285035,0.000169866,0.007983693,0,0.000509597,0.003906914,0.000509597,0,0,0.003737048,0,0,0,0,0,0.000169866,0,0,0.000339732,0.003567182,0.001358926,0.003567182,0,0.000339732,0,0.001528792,0,0,0.000339732,0,0.001698658,0.000339732,0,0.002887719,0,0,0.001358926,0,0,0,0,0.000169866,0,0.000339732,0,0,0.000169866,0.000339732,0.000849329,0.000679463,0.000169866,0,0,0,0,0,0,0,0,0.000169866,0,0,0,0,0,0,0,0.000169866,0,0,0.000169866,0,0.000169866,0,0,0,0,0,,0,0,0,0,0,0.000169866,0,0,0,0,0,0,0,0,0.000339732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
